dnsmasq,151
nginx,309
samba,1357
apache httpd,426
linux kernel,11648
squid,493
dropbear,192
lighttpd,464
goahead,302
appweb,177
wind river vxworks,445
vsftpd,289
openssl,1160
openvas,98
