dnsmasq,0,111
dnsmasq,2.0,161
dnsmasq,2.14,211
dnsmasq,2.29,161
dnsmasq,2.50,111
nginx,0,133
nginx,0.1.0,357
nginx,0.5.6,400
nginx,0.7.0,450
nginx,0.8.15,325
nginx,0.8.36,326
nginx,0.8.39,276
nginx,0.8.41,301
nginx,1.0.7,352
nginx,1.1,402
nginx,1.1.4,460
nginx,1.1.18,410
nginx,1.2,409
nginx,1.3.9,434
nginx,1.3.15,410
nginx,1.5.0,320
nginx,1.5.10,320
nginx,1.5.12,245
nginx,1.7.3,194
nginx,1.7.4,151
nginx,1.8.0,283
nginx,3.12.4,108
nginx,10.0.9,50
samba,0,781
samba,1.1.6,706
samba,1.9.17,997
samba,1.9.18,1043
samba,2.0.0,1481
samba,2.0.1,1574
samba,2.0.4,1624
samba,2.0.5,1850
samba,2.0.7,1963
samba,2.2.0a0,1749
samba,2.2.2,1749
samba,2.2.6,1674
samba,2.2.7a0,1649
samba,2.2.7,1574
samba,2.2.8,1462
samba,2.2.10,1262
samba,2.3,1212
samba,2.6.1,1137
samba,2.6.2,1087
samba,2.6.8,1023
samba,2.6.9,1101
samba,2.6.10,1150
samba,2.6.29,1101
samba,2.6.33.2,1023
samba,2.16,976
samba,2.18.3,994
samba,3.0.0,2703
samba,3.0.1,2602
samba,3.0.2a0,2595
samba,3.0.4,2520
samba,3.0.5,2370
samba,3.0.6,2374
samba,3.0.7,2274
samba,3.0.9,2073
samba,3.0.12,2033
samba,3.0.21a0,2091
samba,3.0.22,2123
samba,3.0.23,2073
samba,3.0.25a0,2028
samba,3.0.25,1868
samba,3.0.26,1799
samba,3.0.27,1613
samba,3.0.28a0,1595
samba,3.0.29,1680
samba,3.1.0,1605
samba,3.1.1,1591
samba,3.2.0,1704
samba,3.2.4,1683
samba,3.2.6,1598
samba,3.2.12,1535
samba,3.3.0,1477
samba,3.3.11,1504
samba,3.4.0,1494
samba,3.4.1,1435
samba,3.4.5,1375
samba,3.5.0,1410
samba,3.5.1,1290
samba,3.5.4,1190
samba,3.5.6,1115
samba,3.5.8,1065
samba,3.5.9,1032
samba,3.5.10,938
samba,3.6.0,1076
samba,3.6.3,1026
samba,3.6.4,926
samba,3.6.5,861
samba,3.6.6,856
samba,4.0.0,1523
samba,4.0.1,1538
samba,4.0.3,1436
samba,4.0.7,1376
samba,4.0.17,1326
samba,4.1.0,1276
samba,4.1.2,1224
samba,4.1.5,1105
samba,4.1.7,997
samba,4.1.8,962
samba,4.1.10,902
samba,4.2.0rc3,823
samba,4.2.0rc4,738
samba,4.2.4,638
samba,4.3.2,528
samba,4.4.0rc3,285
samba,4.43,196
samba,4.52,150
samba,6.4,129
samba,10.4,122
samba,12.0,29
apache httpd,0,123
apache httpd,0.8.11,252
apache httpd,1.0.0,352
apache httpd,1.1.1,427
apache httpd,1.3,538
apache httpd,1.3.9,588
apache httpd,1.3.19,610
apache httpd,1.3.29,506
apache httpd,1.3.37,553
apache httpd,1.6.0,707
apache httpd,1.7.0,847
apache httpd,1.7.8,757
apache httpd,1.8.0,643
apache httpd,1.8.10,603
apache httpd,2.0.36,628
apache httpd,2.0.39,678
apache httpd,2.0.42,628
apache httpd,2.0.43,560
apache httpd,2.0.47,499
apache httpd,2.0.54,435
apache httpd,2.0.55,392
apache httpd,2.0.59,398
apache httpd,2.2.0,447
apache httpd,2.2.3,590
apache httpd,2.2.4,447
apache httpd,2.2.11,351
apache httpd,2.2.13,231
apache httpd,2.2.22,223
apache httpd,2.3.0,266
apache httpd,2.4.0,259
apache httpd,2.4.12,316
apache httpd,2.4.13,266
apache httpd,2.4.16,173
apache httpd,2.5.8,123
apache httpd,3.5,120
apache httpd,4.4.6,155
apache httpd,8.1.3,80
linux kernel,0,470
linux kernel,1.2.0,2945
linux kernel,1.5.4,2991
linux kernel,2.0,3565
linux kernel,2.0.39,3616
linux kernel,2.1,3666
linux kernel,2.1.89,3716
linux kernel,2.2.0,3980
linux kernel,2.2.1,4001
linux kernel,2.2.4rc1,4047
linux kernel,2.2.6,4194
linux kernel,2.2.7,4263
linux kernel,2.2.10,4313
linux kernel,2.2.13rc15,4309
linux kernel,2.2.13,4330
linux kernel,2.2.17rc14,4201
linux kernel,2.2.19,4578
linux kernel,2.2.23,4201
linux kernel,2.2.27,7485
linux kernel,2.3.2,7454
linux kernel,2.4.0,9770
linux kernel,2.4.1,9688
linux kernel,2.4.3rc3,9766
linux kernel,2.4.4,9909
linux kernel,2.4.6,9981
linux kernel,2.4.10,10017
linux kernel,2.4.11rc3,10017
linux kernel,2.4.11,9996
linux kernel,2.4.16,9921
linux kernel,2.4.17,9875
linux kernel,2.4.18,9854
linux kernel,2.4.19rc6,9833
linux kernel,2.4.19,9791
linux kernel,2.4.20,9559
linux kernel,2.4.21,9537
linux kernel,2.4.22,9729
linux kernel,2.4.23,9590
linux kernel,2.4.24,9518
linux kernel,2.4.25,9397
linux kernel,2.4.26,9325
linux kernel,2.4.27rc1,9276
linux kernel,2.4.29,9255
linux kernel,2.4.30,9234
linux kernel,2.4.33,9274
linux kernel,2.4.34rc3,9245
linux kernel,2.4.34,9343
linux kernel,2.4.34.2,9296
linux kernel,2.4.35,9366
linux kernel,2.4.35.2,9396
linux kernel,2.5.0,9359
linux kernel,2.5.31,9309
linux kernel,2.5.69,9288
linux kernel,2.6.0,24726
linux kernel,2.6.1rc1,23719
linux kernel,2.6.1,23752
linux kernel,2.6.2rc1,23851
linux kernel,2.6.2,23900
linux kernel,2.6.5,23903
linux kernel,2.6.7,23707
linux kernel,2.6.8rc1,23684
linux kernel,2.6.8,23734
linux kernel,2.6.8.1,23902
linux kernel,2.6.8.1.5,23685
linux kernel,2.6.9rc1,23747
linux kernel,2.6.9,24003
linux kernel,2.6.9.2.6.20,24019
linux kernel,2.6.10rc1,23423
linux kernel,2.6.10,23540
linux kernel,2.6.11rc2,23302
linux kernel,2.6.11,23554
linux kernel,2.6.11.1,23285
linux kernel,2.6.11.6,23306
linux kernel,2.6.11.8,23273
linux kernel,2.6.11.11,23201
linux kernel,2.6.11.12,23180
linux kernel,2.6.12rc1,23311
linux kernel,2.6.12rc3,23290
linux kernel,2.6.12rc4,23284
linux kernel,2.6.12,23108
linux kernel,2.6.12.1,23108
linux kernel,2.6.13,23221
linux kernel,2.6.13.3,22891
linux kernel,2.6.14rc1,23047
linux kernel,2.6.14rc4,23026
linux kernel,2.6.14,23136
linux kernel,2.6.14.1,22865
linux kernel,2.6.14.3,22816
linux kernel,2.6.14.4,22664
